song_popularity,song_duration_ms,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,speechiness,tempo,audio_valence
73,228706,0.0453,0.728,0.811,2.07E-06,7,0.362,-4.278,0.0564,114.995,0.705
55,186872,0.0447,0.901,0.826,0,10,0.105,-3.373,0.33,89.005,0.751
38,249293,0.33,0.786,0.582,0,1,0.0959,-5.732,0.0865,85.02,0.841
53,172026,0.716,0.728,0.679,3.65E-05,5,0.0901,-5.78,0.0262,101.601,0.869
49,260842,0.169,0.379,0.69,0.00266,2,0.557,-9.862,0.747,189.938,0.17
61,182594,0.499,0.558,0.455,0,8,0.0992,-7.337,0.0382,160.096,0.316
60,187013,0.212,0.542,0.444,0.0519,4,0.102,-11.567,0.0295,171.719,0.827
40,153666,0.151,0.856,0.128,1.30E-05,10,0.0876,-23.137,0.114,128.096,0.717
89,181263,0.00104,0.922,0.581,5.86E-05,10,0.105,-7.495,0.27,140.022,0.595
46,239426,0.454,0.61,0.621,0,4,0.075,-8.757,0.465,129.452,0.367
15,204000,0.249,0.692,0.787,0,1,0.0825,-5.897,0.302,74.961,0.651
60,155840,0.013,0.708,0.827,1.49E-05,0,0.504,-4.591,0.0453,120.015,0.367
77,218013,0.00847,0.56,0.936,0,3,0.161,-5.835,0.0439,112.96,0.371
85,232549,0.03,0.814,0.813,9.33E-05,2,0.255,-3.023,0.0561,79.997,0.839
68,168635,0.0203,0.768,0.673,4.51E-05,0,0.258,-6.248,0.0536,121.021,0.228
56,174720,0.167,0.7,0.96,0.00601,7,0.305,-4.885,0.0974,124.899,0.439
3,193360,0.0325,0.869,0.66,0.000126,7,0.0651,-6.231,0.228,134.525,0.782
29,237386,0.655,0.519,0.457,0,5,0.0696,-8.061,0.0463,116.209,0.755
52,234133,0.0867,0.592,0.865,3.53E-06,7,0.103,-3.183,0.0282,124.278,0.659
45,195106,0.00316,0.516,0.961,0,5,0.404,-5.37,0.157,150.147,0.458
50,206626,0.123,0.444,0.627,0,7,0.0795,-8.744,0.252,98.21,0.359
19,403520,0.973,0.216,0.311,0.731,2,0.573,-10.037,0.0352,76.722,0.126
38,234373,0.00323,0.543,0.847,0,9,0.0551,-3.574,0.0659,92.046,0.65
82,238640,0.0102,0.515,0.43,0.000141,7,0.129,-9.935,0.0369,91.841,0.104
67,211567,0.64,0.536,0.426,5.88E-06,7,0.147,-10.446,0.123,135.872,0.375
41,145640,0.391,0.546,0.469,0,5,0.091,-8.967,0.0289,142.712,0.779
68,232853,0.563,0.671,0.837,0,1,0.256,-4.828,0.436,88.838,0.686
65,193003,0.202,0.555,0.336,0,5,0.112,-14.668,0.402,76.153,0.381
49,350752,0.974,0.066,0.0176,0.904,4,0.0956,-32.195,0.0602,61.941,0.0312
97,196400,0.0175,0.669,0.574,0.00294,4,0.146,-6.442,0.0286,120.013,0.273
82,269106,0.101,0.798,0.867,0,1,0.0634,-5.971,0.12,109.04,0.668
48,235373,0.0582,0.724,0.8,0.000717,2,0.198,-5.676,0.0368,126.994,0.755
10,225075,3.48E-05,0.576,0.725,0.0004,2,0.345,-7.87,0.0263,127.98,0.478
0,230103,0.519,0.693,0.571,0,1,0.0688,-8.456,0.732,122.104,0.373
21,256093,0.141,0.586,0.599,6.09E-06,1,0.0966,-4.352,0.0695,145.032,0.313
58,295000,0.0448,0.613,0.476,0,0,0.0608,-9.648,0.0321,84.938,0.644
30,351893,0.489,0.525,0.601,1.61E-06,10,0.0438,-9.873,0.0717,120.68,0.801
79,208226,0.968,0.441,0.379,0.262,2,0.639,-9.545,0.0449,174.118,0.105
14,238653,1.85E-05,0.55,0.917,0.214,7,0.0333,-4.575,0.0378,109.552,0.245
67,201463,0.321,0.441,0.57,0,2,0.0862,-6.186,0.0553,122.329,0.229
60,217960,0.00825,0.478,0.676,0,11,0.0583,-6.155,0.0708,148.039,0.416
77,142320,0.0484,0.656,0.542,0,7,0.106,-7.358,0.323,166.11,0.551
35,213655,0.445,0.76,0.519,0,7,0.116,-10.719,0.2,110.017,0.392
34,196571,0.32,0.723,0.506,0.00255,11,0.315,-7.792,0.0509,105.021,0.572
81,245386,0.0117,0.838,0.771,0,1,0.0853,-3.791,0.244,175.957,0.405
64,222859,0.826,0.347,0.183,2.94E-05,2,0.126,-11.149,0.0338,149.681,0.24
35,164520,0.924,0.596,0.144,0,2,0.219,-10.307,0.0298,115.681,0.451
39,243493,0.655,0.695,0.741,7.49E-06,5,0.115,-3.08,0.246,82.446,0.513
73,215173,0.241,0.672,0.623,0,9,0.0848,-5.699,0.0297,92.018,0.617
35,179866,0.355,0.626,0.882,0.000537,7,0.834,-8.819,0.0307,130.06,0.977
76,194490,0.00041,0.604,0.897,0.838,10,0.327,-3.678,0.0641,102.053,0.588
48,202605,0.51,0.723,0.764,0,9,0.0926,-4.952,0.0917,135.96,0.659
72,261933,0.015,0.547,0.691,0.105,4,0.144,-13.553,0.0369,137.148,0.667
57,296619,0.0883,0.891,0.623,0.754,10,0.0693,-9.485,0.0716,117.986,0.345
45,205493,0.00878,0.683,0.537,0.00101,11,0.127,-8.652,0.0376,151.835,0.889
74,295400,0.0589,0.586,0.7,0.00125,0,0.0318,-9.558,0.0363,147.245,0.897
52,199375,0.195,0.741,0.504,1.59E-05,6,0.0888,-6.992,0.0405,94,0.59
40,285953,0.652,0.717,0.518,0.000157,2,0.0563,-6.797,0.0568,135.663,0.968
29,126373,0.0192,0.864,0.533,0.0109,7,0.031,-7.295,0.283,85.015,0.324
64,195714,0.0623,0.653,0.911,5.22E-05,9,0.301,-2.979,0.0645,125.959,0.335
30,217480,0.072,0.435,0.768,0.114,1,0.128,-4.892,0.043,113.983,0.227
23,203782,0.0417,0.772,0.775,0,10,0.226,-4.388,0.112,124.978,0.748
37,154053,0.104,0.599,0.57,0,11,0.0907,-9.392,0.443,176.115,0.34
80,204022,0.0784,0.725,0.834,1.27E-05,5,0.0834,-3.913,0.037,120.026,0.859
36,239946,0.377,0.437,0.481,0,11,0.33,-9.681,0.237,83.606,0.216
72,224773,0.0435,0.743,0.807,0,1,0.309,-3.78,0.0364,144.062,0.899
34,207306,7.11E-05,0.426,0.981,2.64E-06,0,0.347,-4.505,0.054,159.932,0.632
34,163880,0.122,0.786,0.764,0,11,0.102,-2.935,0.0798,90.979,0.913
64,181603,0.07,0.954,0.535,0.0478,7,0.142,-6.508,0.0724,116.954,0.614
11,269373,0.000917,0.433,0.959,0,9,0.028,-4.04,0.0431,172.984,0.365
68,252960,0.795,0.358,0.546,0.0586,0,0.111,-8.927,0.0296,106.489,0.264
53,204878,0.00571,0.816,0.653,0.0709,6,0.0855,-5.87,0.039,123.022,0.631
58,269160,0.358,0.472,0.672,0,10,0.108,-4.997,0.212,81.813,0.392
71,159595,0.049,0.75,0.585,0.00552,9,0.155,-7.576,0.0285,102.331,0.584
48,197306,0.791,0.627,0.188,0,11,0.325,-11.898,0.0383,96.992,0.44
61,298800,0.665,0.661,0.184,0,1,0.106,-13.644,0.038,140.006,0.357
5,211013,0.284,0.692,0.886,0,1,0.341,-2.519,0.0519,100.03,0.879
44,126533,0.454,0.465,0.674,0,9,0.233,-8.318,0.0833,171.246,0.923
68,193786,0.789,0.857,0.22,0,2,0.129,-14.115,0.23,100.976,0.583
76,214159,0.09,0.874,0.727,5.83E-06,8,0.0759,-7.689,0.0777,98.97,0.427
59,308373,0.722,0.327,0.501,0.00245,9,0.113,-8.885,0.0434,115.199,0.377
56,352200,0.449,0.753,0.59,0.0104,7,0.153,-9.622,0.0357,88.786,0.863
39,216411,0.00998,0.912,0.931,3.56E-06,11,0.0388,-3.713,0.124,130.046,0.828
31,214093,0.00968,0.532,0.675,0.124,0,0.0765,-8.526,0.0606,142.091,0.483
44,294613,0.0726,0.747,0.711,0,10,0.67,-9.728,0.55,88.099,0.525
78,220293,0.103,0.622,0.807,0,5,0.306,-6.752,0.408,174.06,0.892
64,202754,0.0927,0.871,0.55,0.000742,0,0.0788,-6.113,0.0613,96.018,0.448
28,165640,0.591,0.602,0.523,2.99E-06,11,0.0944,-8.344,0.0325,161.527,0.85
74,515866,0.6,0.527,0.509,0,7,0.144,-10.893,0.0628,138.317,0.497
44,165714,0.207,0.462,0.837,0,9,0.0967,-5.078,0.0868,129.01,0.496
55,231893,0.00957,0.279,0.423,0.837,4,0.128,-12.06,0.038,101.571,0.291
40,244226,0.0954,0.798,0.652,4.97E-05,0,0.188,-7.86,0.0285,131.987,0.411
52,213311,0.05,0.981,0.504,0,6,0.128,-8.133,0.0856,125.99,0.811
0,222933,0.011,0.363,0.824,0,4,0.105,-3.316,0.0405,118.66,0.164
52,145626,0.39,0.933,0.674,0.000151,8,0.309,-5.811,0.256,96.042,0.791
34,230439,0.162,0.71,0.814,0,10,0.16,-4.575,0.0561,155.02,0.714
76,211852,0.404,0.629,0.601,0,10,0.0582,-7.508,0.309,199.921,0.612
34,186140,0.0586,0.774,0.435,0.00831,0,0.141,-8.917,0.0792,90.534,0.47
38,299000,0.257,0.767,0.843,0,8,0.66,-4.628,0.415,86.043,0.324
45,163533,0.794,0.247,0.267,2.04E-06,5,0.105,-15.328,0.0593,175.747,0.333
83,225133,0.648,0.6,0.535,4.70E-06,4,0.162,-7.043,0.107,71.912,0.269
77,188989,0.368,0.737,0.77,0,10,0.306,-7.753,0.51,158.351,0.431
37,191841,0.386,0.749,0.779,0,5,0.0911,-4.272,0.0306,144.09,0.961
60,291046,0.958,0.528,0.0927,0.000436,0,0.106,-8.419,0.0323,110.13,0.23
30,200898,2.54E-05,0.371,0.981,0.0209,9,0.819,-2.232,0.0737,161.988,0.45
72,236384,0.406,0.604,0.551,0,10,0.395,-5.768,0.0478,76.067,0.423
23,179340,0.217,0.47,0.201,0.505,6,0.0688,-17.869,0.227,91.082,0.718
67,265053,0.0146,0.511,0.937,0,2,0.304,-5.116,0.115,163.141,0.484
52,205613,0.634,0.649,0.623,0,2,0.0802,-6.038,0.0603,86.062,0.263
73,239600,0.112,0.601,0.643,0.00209,2,0.088,-5.828,0.0314,128.262,0.552
56,255693,0.0177,0.826,0.698,0.00761,11,0.314,-4.004,0.151,100.108,0.604
0,236486,0.288,0.705,0.561,0,1,0.442,-4.229,0.0584,133.452,0.523
53,225352,0.0691,0.782,0.742,1.82E-06,8,0.211,-2.25,0.107,122.031,0.398
62,338146,0.617,0.389,0.898,6.73E-05,4,0.659,-6.445,0.265,170.167,0.697
44,206120,0.0073,0.714,0.952,0,4,0.387,-3.622,0.0894,127.008,0.959
32,109160,0.236,0.751,0.386,0,1,0.1,-9.914,0.202,130.043,0.315
31,178266,0.000499,0.405,0.91,0,9,0.0739,-5.234,0.128,196.444,0.641
43,200520,0.0268,0.736,0.828,0,9,0.317,-4.976,0.326,164.099,0.789
18,179546,8.40E-05,0.38,0.829,0.00208,5,0.342,-6.105,0.0405,125.887,0.0534
62,370200,0.729,0.492,0.626,0.533,4,0.0509,-8.26,0.0349,86.016,0.524
7,287555,0.365,0.645,0.524,0.0219,5,0.106,-11.892,0.0439,111.927,0.801
60,227105,0.0538,0.431,0.823,2.48E-05,7,0.0855,-5.592,0.122,176.536,0.624
52,163559,0.894,0.524,0.14,0.000238,4,0.162,-22.196,0.137,134.877,0.26
51,214945,0.676,0.165,0.0841,0.812,2,0.341,-19.562,0.0453,90.434,0.0375
59,340560,0.701,0.543,0.395,4.24E-05,9,0.0961,-11.396,0.0267,94.872,0.231
4,231440,0.1,0.607,0.794,0,0,0.0815,-5.156,0.0491,81.326,0.821
41,350053,0.506,0.311,0.775,0,2,0.897,-12.683,0.076,121.352,0.477
38,220871,0.596,0.575,0.493,0.337,11,0.0872,-14.726,0.0533,98.992,0.439
51,158145,0.0453,0.719,0.837,0,10,0.109,-5.152,0.171,85.012,0.604
72,177973,0.366,0.827,0.613,1.25E-05,8,0.093,-5.34,0.0621,137.96,0.747
54,178795,0.00261,0.532,0.892,0.000519,11,0.228,-4.698,0.071,85.99,0.808
52,165360,0.313,0.664,0.702,2.06E-06,10,0.369,-11.841,0.0671,156.987,0.737
65,232019,0.041,0.808,0.697,0,10,0.0546,-5.899,0.241,95.06,0.554
67,199944,0.00523,0.804,0.823,2.77E-06,11,0.168,-3.496,0.147,98.026,0.619
20,233173,0.136,0.756,0.855,0.00028,2,0.302,-3.529,0.0669,99.02,0.811
48,142259,0.215,0.675,0.93,0,11,0.0638,-3.131,0.069,129.965,0.595
14,200234,0.127,0.88,0.726,7.35E-05,10,0.335,-6.941,0.197,161.003,0.718
66,231693,0.0635,0.743,0.78,0,7,0.126,-9.212,0.0722,109.044,0.597
58,165228,0.167,0.498,0.908,0.000235,0,0.281,-5.005,0.0416,153.576,0.535
67,205293,0.0734,0.407,0.834,0.00021,6,0.241,-9.224,0.208,121.38,0.71
63,159400,0.809,0.736,0.45,0,2,0.108,-9.406,0.228,153.888,0.663
73,230693,0.382,0.539,0.884,0.00166,9,0.76,-6.53,0.0403,100.812,0.752
49,154921,0.00038,0.73,0.969,0.179,1,0.159,-4.34,0.118,127.968,0.259
75,207333,0.247,0.563,0.674,0.00226,5,0.107,-4.554,0.048,179.977,0.784
4,232500,0.0128,0.705,0.949,0.6,10,0.27,-3.575,0.0454,128.011,0.274
45,305066,0.822,0.718,0.332,0.892,10,0.158,-13.213,0.0331,113.813,0.701
43,193106,0.985,0.476,0.245,0.000822,5,0.257,-11.151,0.0316,90.023,0.362
41,312533,0.127,0.668,0.541,0,11,0.271,-9.011,0.0728,114.832,0.524
65,139318,0.938,0.812,0.0815,0.156,11,0.0896,-20.883,0.0594,62.015,0.147
47,204226,0.000313,0.41,0.952,7.66E-06,11,0.292,-3.456,0.157,155.95,0.571
20,227226,0.399,0.645,0.734,0.000447,5,0.0512,-5.832,0.0469,106.159,0.661
15,172400,0.585,0.618,0.842,0,5,0.102,-4.87,0.042,150.741,0.811
38,196702,0.0825,0.905,0.85,6.57E-05,1,0.0908,-3.336,0.0524,117.984,0.611
51,275597,0.192,0.856,0.659,0,2,0.0894,-5.16,0.129,159.973,0.371
90,152000,0.13,0.733,0.63,0,11,0.162,-4.296,0.395,149.989,0.832
66,251626,0.591,0.624,0.724,7.79E-06,10,0.101,-7.113,0.101,78.008,0.624
53,174200,0.000121,0.579,0.685,3.16E-05,11,0.166,-6.058,0.026,95.187,0.679
52,195597,0.14,0.79,0.699,0,0,0.0945,-6.427,0.0376,105.04,0.771
19,210809,0.0927,0.581,0.747,0,10,0.103,-6.144,0.0318,188.121,0.856
51,175528,0.0359,0.59,0.622,0,9,0.0683,-9.555,0.0578,85.959,0.659
52,127073,0.975,0.281,0.0134,0.921,6,0.376,-33.246,0.0371,68.548,0.0427
69,188754,0.0476,0.811,0.879,1.91E-06,9,0.109,-3.724,0.0514,134.064,0.962
65,213053,0.316,0.549,0.664,0,8,0.101,-4.942,0.0451,155.745,0.307
30,146160,0.437,0.677,0.693,0,11,0.405,-7.561,0.0343,130.013,0.755
17,229666,0.781,0.617,0.502,1.00E-05,7,0.193,-8.271,0.0388,80.959,0.107
51,218026,0.0463,0.799,0.642,0,8,0.0616,-5.523,0.13,92.907,0.536
45,231666,0.463,0.826,0.79,0.00251,4,0.0614,-7.555,0.242,83.014,0.739
59,208570,0.206,0.664,0.842,6.26E-06,9,0.554,-5.351,0.339,84.994,0.719
74,197112,0.00954,0.496,0.793,0,5,0.325,-6.122,0.297,191.928,0.62
42,188238,0.868,0.579,0.268,0,2,0.12,-5.65,0.0442,205.903,0.321
34,126540,0.178,0.702,0.474,0.683,2,0.15,-10.944,0.117,83.035,0.372
59,189188,0.409,0.883,0.726,0.0454,6,0.0792,-3.333,0.0838,98.015,0.887
60,219666,0.0127,0.502,0.924,0,4,0.162,-6.299,0.0503,149.186,0.922
53,206530,0.284,0.702,0.733,0,0,0.168,-5.167,0.0273,137.884,0.65
72,193213,0.0383,0.426,0.584,0,1,0.188,-5.293,0.296,193.437,0.272
70,179226,0.487,0.659,0.577,0.00338,8,0.168,-8.114,0.0337,98.148,0.946
58,206505,0.0147,0.633,0.776,1.84E-05,1,0.163,-6.763,0.095,131.951,0.311
57,235096,0.152,0.718,0.584,0.000101,1,0.116,-4.749,0.0758,133.095,0.186
21,229485,0.245,0.805,0.48,0.00431,11,0.0955,-7.179,0.208,98.045,0.26
60,181237,0.524,0.466,0.413,0,3,0.374,-11.772,0.445,172.941,0.366
67,217746,0.387,0.403,0.495,8.03E-06,10,0.147,-6.888,0.0312,132.91,0.38
52,185035,0.201,0.749,0.616,0.00161,6,0.119,-5.807,0.0351,101.993,0.419
41,151666,0.482,0.669,0.616,0,11,0.179,-10.776,0.033,130.037,0.818
58,189786,0.845,0.599,0.27,0.00042,4,0.11,-17.638,0.0905,124.155,0.377
53,161832,0.0827,0.801,0.567,2.71E-05,8,0.099,-8.098,0.214,135.06,0.518
58,181560,0.834,0.445,0.227,0,2,0.115,-11.068,0.0328,91.426,0.195
47,246320,0.00791,0.738,0.679,0,1,0.361,-9.891,0.0637,107.171,0.735
69,253240,0.416,0.531,0.499,0,0,0.131,-8.793,0.0403,118.059,0.182
69,198053,0.00761,0.729,0.771,0,4,0.087,-2.451,0.0725,125.011,0.873
65,215445,0.295,0.655,0.427,0.00108,2,0.0788,-11.684,0.0799,107.992,0.224
44,242973,0.399,0.847,0.814,1.23E-05,7,0.0661,-4.431,0.0537,144.28,0.895
76,193613,0.15,0.703,0.868,0.132,7,0.104,-4.661,0.0291,121.03,0.733
2,286238,0.737,0.483,0.349,0,5,0.16,-6.571,0.0285,71.946,0.317
50,161697,0.516,0.735,0.461,0.00151,5,0.123,-8.834,0.138,143.988,0.381
94,235545,0.568,0.851,0.541,0,0,0.13,-6.825,0.0505,124.959,0.448
45,265371,0.307,0.671,0.529,0.752,1,0.0782,-9.39,0.0777,89.981,0.176
69,232600,0.711,0.69,0.407,0,9,0.126,-7.739,0.0297,111.916,0.181
64,147692,0.422,0.825,0.753,4.16E-06,10,0.0385,-8.228,0.0447,130.006,0.904
79,232946,0.0991,0.608,0.86,0,5,0.262,-5.324,0.0554,127.075,0.437
37,223333,0.164,0.81,0.744,0,1,0.0942,-5.779,0.235,100.022,0.314
63,214440,0.0636,0.879,0.573,0,10,0.256,-8.113,0.305,91.037,0.73
54,126163,0.246,0.662,0.605,0.0137,6,0.145,-10.149,0.649,76.374,0.694
41,183493,0.000231,0.321,0.437,0.0252,8,0.0836,-15.836,0.0447,122.74,0.535
51,279573,0.0791,0.549,0.63,0.00479,2,0.294,-6.684,0.0689,123.961,0.12
52,81106,0.696,0.695,0.266,0.871,11,0.0917,-16.319,0.0714,87.033,0.672
42,212853,4.63E-05,0.471,0.847,0.903,6,0.645,-4.758,0.0371,125.98,0.446
49,279880,0.421,0.849,0.626,0.000243,1,0.0915,-5.007,0.0404,132.792,0.736
77,192600,0.332,0.857,0.801,1.20E-06,0,0.0789,-6.499,0.0618,96.009,0.753
75,217106,0.619,0.389,0.476,5.09E-05,9,0.255,-9.342,0.0316,148.117,0.566
25,218906,0.164,0.796,0.693,1.77E-05,2,0.0408,-6.02,0.0413,108.8,0.954
52,176167,0.936,0.526,0.293,0.000314,11,0.088,-12.358,0.0322,120.05,0.144
79,210200,0.299,0.553,0.502,0,0,0.764,-5.972,0.0409,129.976,0.296
68,177893,0.515,0.435,0.386,0,5,0.315,-5.066,0.0696,93.159,0.346
76,160183,0.0267,0.626,0.8,0.000138,1,0.0623,-3.988,0.035,127.966,0.258
22,164000,0.71,0.639,0.782,1.88E-05,6,0.0967,-6.396,0.0841,133.299,0.755
52,171413,0.955,0.373,0.216,0.00105,1,0.0739,-11.41,0.0326,129.03,0.496
55,222733,0.316,0.435,0.411,1.15E-05,7,0.111,-8.483,0.0383,189.677,0.172
68,237000,0.134,0.485,0.928,2.92E-05,10,0.217,-3.451,0.445,160.165,0.348
43,64506,0.905,0.728,0.51,0.936,8,0.272,-15.737,0.0904,89.008,0.761
57,199666,0.388,0.692,0.799,0,1,0.301,-7.924,0.164,97.978,0.549
55,270172,0.443,0.542,0.485,0.000738,0,0.4,-7.443,0.0361,112.435,0.345
57,159895,0.0281,0.696,0.798,0.00119,8,0.118,-5.011,0.0345,124.023,0.388
71,167186,0.466,0.736,0.871,0,2,0.108,-2.786,0.0278,122.395,0.967
72,110880,0.996,0.124,0.0924,0.848,11,0.0935,-31.726,0.0412,205.999,0.135
52,190866,0.0617,0.646,0.658,0,7,0.0692,-4.678,0.052,92.001,0.44
50,247106,0.0017,0.29,0.88,2.87E-05,1,0.636,-5.242,0.0477,164.26,0.427
0,194541,0.0525,0.553,0.59,0.00356,9,0.0812,-9.378,0.0544,160.087,0.19
66,250760,0.0453,0.624,0.803,0,9,0.318,-5.107,0.218,92.401,0.172
37,116710,0.702,0.54,0.519,0,0,0.167,-6.859,0.448,82.523,0.671
50,95992,0.959,0.833,0.615,0.945,3,0.112,-9.296,0.272,85.063,0.843
31,230000,0.502,0.524,0.274,0.257,6,0.0924,-13.931,0.295,167.998,0.342
10,210967,0.0469,0.684,0.818,3.39E-06,4,0.119,-4.477,0.128,123.938,0.336
83,217440,0.0716,0.684,0.619,0,10,0.122,-7.005,0.0386,125.046,0.284
31,170307,0.0775,0.571,0.841,1.55E-05,3,0.114,-5.262,0.055,131.004,0.52
73,177533,0.313,0.66,0.512,0,0,0.283,-7.183,0.0294,133.607,0.852
84,180566,0.479,0.697,0.552,0.127,1,0.147,-10.271,0.196,75.235,0.278
94,210367,0.0143,0.818,0.54,0.000512,6,0.099,-6.35,0.0544,97.064,0.174
69,172933,0.128,0.743,0.529,0,7,0.181,-6.187,0.0505,102.048,0.438
85,164640,0.66,0.769,0.479,0,1,0.0914,-5.339,0.0385,96.051,0.803
47,194026,0.978,0.245,0.0454,0.699,7,0.356,-22.706,0.033,78.062,0.0897
64,227234,0.653,0.829,0.23,0.188,2,0.258,-16.559,0.0418,94.014,0.516
58,205958,0.0121,0.86,0.66,0.00471,1,0.0732,-4.568,0.208,93.967,0.321
49,252557,0.229,0.926,0.711,3.06E-06,0,0.0595,-3.377,0.0468,125.083,0.9
1,197673,0.104,0.569,0.685,0.0014,1,0.0674,-6.086,0.0812,189.938,0.372
63,200000,0.00242,0.784,0.556,0.132,1,0.0517,-7.42,0.0415,113.979,0.645
66,231965,0.877,0.393,0.207,0,10,0.104,-11.865,0.0392,163.99,0.262
25,258240,0.595,0.61,0.394,0.000302,7,0.27,-15.453,0.0691,106.797,0.842
43,203360,0.864,0.357,0.327,0,10,0.0761,-11.403,0.0402,179.679,0.0832
29,180560,0.732,0.756,0.175,2.47E-06,7,0.0737,-15.094,0.138,133.907,0.783
59,238266,0.22,0.704,0.528,0.35,5,0.14,-13.382,0.0358,117.472,0.73
53,217973,0.778,0.583,0.235,0,6,0.187,-10.121,0.0287,137.829,0.368
69,238657,0.158,0.767,0.625,0,5,0.16,-3.533,0.24,144.927,0.647
61,195669,0.165,0.699,0.88,0,7,0.292,-3.148,0.0446,112.013,0.88
8,284000,0.053,0.768,0.807,2.99E-06,2,0.214,-5.508,0.106,112.001,0.575
34,284000,0.00144,0.64,0.515,0.468,8,0.0935,-11.92,0.0607,144.279,0.411
47,182960,0.538,0.642,0.834,0,5,0.108,-4.4,0.0982,137.875,0.645
54,155181,0.839,0.587,0.452,0.891,0,0.0979,-9.656,0.495,160.497,0.622
4,138400,0.237,0.338,0.777,0.879,0,0.379,-6.916,0.0365,154.174,0.433
23,303373,0.652,0.388,0.338,3.72E-06,10,0.248,-10.054,0.0328,177.784,0.477
65,171360,0.185,0.682,0.605,0.00326,8,0.0469,-10.771,0.0403,125.96,0.914
71,210000,0.264,0.921,0.586,0,8,0.119,-7.77,0.406,96.042,0.657
56,132232,0.24,0.638,0.708,0,1,0.311,-5.001,0.0421,103.16,0.582
82,209213,0.161,0.753,0.66,0,5,0.236,-6.542,0.133,95.003,0.182
97,184560,0.176,0.694,0.77,1.10E-05,6,0.118,-5.335,0.149,125.905,0.163
76,243280,0.232,0.639,0.815,0,11,0.299,-4.962,0.252,159.903,0.4
60,203066,0.0352,0.773,0.581,0,8,0.485,-8.466,0.432,94.093,0.711
1,219943,0.193,0.672,0.377,0.626,7,0.0549,-8.486,0.512,140.061,0.811
45,268066,0.000379,0.65,0.953,0.262,6,0.103,-6.023,0.0823,101.366,0.502
59,199490,0.351,0.541,0.483,0.4,1,0.111,-10.675,0.0514,80.73,0.641
71,197693,0.0422,0.598,0.673,6.84E-05,2,0.289,-10.431,0.0693,102.035,0.59
62,198773,0.0751,0.507,0.847,0.237,1,0.372,-5.987,0.0411,98.096,0.566
21,163000,0.642,0.675,0.312,0,4,0.0898,-9.351,0.0316,127.179,0.644
76,240165,0.694,0.585,0.303,0,4,0.115,-10.058,0.0398,136.703,0.142
92,199226,0.0558,0.575,0.571,0,1,0.0912,-7.906,0.0439,105.049,0.449
0,247280,0.0101,0.647,0.903,4.22E-05,11,0.253,-5.012,0.0374,135.921,0.96
21,204043,0.165,0.559,0.644,3.98E-06,0,0.297,-6.189,0.0306,104.972,0.495
51,166440,0.0237,0.52,0.883,0.249,1,0.205,-6.224,0.0316,96.499,0.694
50,190466,0.124,0.874,0.613,0,5,0.0855,-7.051,0.0574,112.061,0.873
48,243506,0.478,0.523,0.854,0.000939,9,0.271,-8.27,0.0954,146.688,0.83
93,215759,0.374,0.747,0.834,0,3,0.0586,-2.867,0.045,128.005,0.687
57,231693,0.00914,0.526,0.9,0,4,0.277,-4.76,0.0531,125.349,0.458
63,302013,0.272,0.52,0.847,0,9,0.325,-5.3,0.427,177.371,0.799
64,113400,0.992,0.537,0.0332,0.941,2,0.095,-18.741,0.0478,165.064,0.279
